Router List
================================================================================
Total: 334 routers
Generated: 2025-10-23 14:41:32
================================================================================

 288. 210.69.115.235     mail2000.taichung.gov.tw
 289. 220.128.8.113      220-128-8-113.clpy-3331.hinet.net
 290. 220.128.24.101     220-128-24-101.tncd-3331.hinet.net
 291. 140.117.11.50      mail.nsysu.edu.tw
 292. 140.123.1.2        suncc.ccu.edu.tw
 293. 220.128.26.133     220-128-26-133.tne1-3331.hinet.net
 294. 168.95.208.57      h57.s208.ts.hinet.net
 295. 168.95.208.45      h45.s208.ts.hinet.net
 296. 220.128.25.78      220-128-25-78.skc1-3052.hinet.net
 297. 203.74.167.125     203-74-167-125.hinet-ip.hinet.net
 298. 60.199.21.1        60-199-21-1.static.tfn.net.tw
 299. 61.31.254.62       61-31-254-62.static.tfn.net.tw
 300. 139.175.57.105     r57-105.seed.net.tw
 301. 61.67.3.242        h242.c3.gtbc.com.tw
 302. 61.67.7.197        mail.firstbank.com.tw
 303. 139.175.57.218     r57-218.seed.net.tw
 304. 168.95.208.29      h29.s208.ts.hinet.net
 305. 124.219.113.65     124-219-113-65.vdslpro.static.apol.com.tw
 306. 175.99.124.237     175-99-124-237.static.tfn.net.tw
 307. 60.199.18.42       60-199-18-42.static.tfn.net.tw
 308. 220.128.2.53       220-128-2-53.tpdb-3331.hinet.net
 309. 168.95.80.193      h193.s80.ts.hinet.net
 310. 220.128.4.101      220-128-4-101.tpdb-3331.hinet.net
 311. 210.71.174.246     210-71-174-246.hinet-ip.hinet.net
 312. 203.69.140.21      203-69-140-21.hinet-ip.hinet.net
 313. 139.175.56.142     r56-142.seed.net.tw
 314. 192.72.123.73      h73-192-72-123.seed.net.tw
 315. 139.175.57.186     r57-186.seed.net.tw
 316. 60.250.134.169     60-250-134-169.hinet-ip.hinet.net
 317. 168.95.81.221      h221.s81.ts.hinet.net
 318. 168.95.84.237      h237.s84.ts.hinet.net
 319. 118.163.125.90     118-163-125-90.hinet-ip.hinet.net
 320. 168.95.210.73      h73.s210.ts.hinet.net
 321. 168.95.81.201      h201.s81.ts.hinet.net
 322. 61.219.29.220      61-219-29-220.hinet-ip.hinet.net
 323. 220.128.9.205      220-128-9-205.tyfo-3331.hinet.net
