Source,Target,Weight,Type
210.242.36.6,210.242.36.6,1,Directed
203.163.222.39,104.18.11.245,1,Directed
104.18.11.245,104.18.11.245,1,Directed
203.163.222.39,104.18.10.245,1,Directed
104.18.10.245,104.18.10.245,1,Directed
211.22.226.198,220.128.25.21,1,Directed
220.128.25.21,168.95.208.209,1,Directed
168.95.208.209,118.163.224.38,1,Directed
118.163.224.38,118.163.224.38,3,Directed
60.199.27.161,60.199.27.166,1,Directed
60.199.27.166,219.87.161.130,1,Directed
219.87.161.130,219.87.161.130,1,Directed
211.22.226.198,220.128.25.17,1,Directed
220.128.25.17,168.95.211.205,1,Directed
168.95.211.205,60.249.154.131,1,Directed
60.249.154.131,60.249.154.131,1,Directed
203.163.222.39,104.18.22.151,1,Directed
104.18.22.151,104.18.22.151,1,Directed
220.128.4.225,168.95.211.29,1,Directed
168.95.211.29,60.251.184.149,1,Directed
60.251.184.149,60.251.184.149,1,Directed
220.128.4.217,168.95.209.29,1,Directed
168.95.209.29,60.251.184.130,1,Directed
60.251.184.130,60.251.184.130,1,Directed
72.14.196.229,172.253.64.127,3,Directed
172.253.64.127,209.85.245.65,1,Directed
209.85.245.65,142.250.66.67,1,Directed
142.250.66.67,142.250.66.67,1,Directed
72.14.196.229,172.253.50.121,1,Directed
172.253.50.121,142.251.77.87,1,Directed
142.251.77.87,142.250.196.195,1,Directed
142.250.196.195,142.250.196.195,1,Directed
209.85.254.217,192.178.105.254,1,Directed
192.178.105.254,108.170.238.143,1,Directed
108.170.238.143,216.239.41.106,1,Directed
216.239.41.106,142.250.233.62,1,Directed
142.250.233.62,142.250.59.99,1,Directed
142.250.59.99,142.251.60.28,1,Directed
142.251.60.28,216.239.54.221,1,Directed
216.239.54.221,216.239.32.10,1,Directed
216.239.32.10,216.239.32.10,1,Directed
192.192.68.30,210.176.44.153,2,Directed
210.176.44.153,202.84.137.254,2,Directed
202.84.137.254,202.84.140.249,2,Directed
202.84.140.249,202.84.141.109,2,Directed
202.84.207.182,157.240.68.34,2,Directed
157.240.68.34,129.134.99.104,1,Directed
129.134.99.104,129.134.89.205,1,Directed
129.134.89.205,163.77.195.77,1,Directed
163.77.195.77,57.144.144.1,1,Directed
57.144.144.1,57.144.144.1,1,Directed
157.240.68.34,129.134.99.94,1,Directed
129.134.99.94,129.134.95.164,1,Directed
129.134.95.164,163.77.195.80,1,Directed
163.77.195.80,57.144.144.141,1,Directed
57.144.144.141,57.144.144.141,1,Directed
172.253.64.127,142.251.226.169,1,Directed
142.251.226.169,142.250.204.46,1,Directed
142.250.204.46,142.250.204.46,1,Directed
172.253.64.127,209.85.142.121,1,Directed
209.85.142.121,142.250.198.78,1,Directed
142.250.198.78,142.250.198.78,1,Directed
192.192.68.62,13.248.158.7,1,Directed
13.248.158.7,13.248.158.7,1,Directed
192.192.68.62,76.223.84.192,1,Directed
76.223.84.192,76.223.84.192,1,Directed
220.128.9.58,220.128.9.205,1,Directed
220.128.9.205,203.69.140.17,1,Directed
203.69.140.17,23.220.197.236,1,Directed
23.220.197.236,23.220.197.236,1,Directed
192.192.68.62,184.104.199.145,1,Directed
184.104.199.145,184.104.188.97,1,Directed
184.104.188.97,184.104.198.217,1,Directed
184.104.198.217,184.104.197.109,1,Directed
184.104.197.109,206.223.123.10,1,Directed
206.223.123.10,195.206.70.116,1,Directed
195.206.70.116,195.206.70.96,1,Directed
195.206.70.96,195.206.70.75,1,Directed
195.206.70.75,195.206.70.92,1,Directed
192.192.68.28,17.1.121.16,1,Directed
17.1.121.16,17.253.144.10,1,Directed
17.253.144.10,17.253.144.10,1,Directed
192.192.61.48,163.28.224.36,1,Directed
